"","animals_name","number_of_pets","name_length"
"3231","DooDoo",1,6
"3232","Doofus",1,6
"3233","Doogan",1,6
"3234","Doogie",4,6
"3235","Dooie",1,5
"3236","Dookey",1,6
"3237","Doolin",1,6
"3238","Dooly",1,5
"3239","Dopey",1,5
"3240","Dopple",1,6
"3241","Doppler",1,7
"3242","Dor Dor",1,7
"3243","Dora",24,4
"3244","Dora Ballou",1,11
"3245","Dorabella",1,9
"3246","Dorah",1,5
"3247","Dori",9,4
"3248","Dorian",5,6
"3249","Dorian Grey",1,11
"3250","Doris",2,5
"3251","Dorothy",6,7
"3252","Dorrie Belle Porter",1,19
"3253","Dorset",1,6
"3254","Dory",13,4
"3255","Dos",1,3
"3256","Dosa",1,4
"3257","Dosie",1,5
"3258","Doss",1,4
"3259","Dot",12,3
"3260","Dotson",2,6
"3261","Dotti",2,5
"3262","Dottie",20,6
"3263","Dottie Mae",1,10
"3264","Double",1,6
"3265","Doubter",1,7
"3266","Doug",12,4
"3267","Doug Baldwin",1,12
"3268","Doug Fir",1,8
"3269","Dougal",2,6
"3270","Dougie",2,6
"3271","Douglas",9,7
"3272","Douglas Fur",1,11
"3273","Douglas Jenkins",1,15
"3274","Dougy Luna",1,10
"3275","Dovakene",1,8
"3276","Dove",1,4
"3277","Dover",1,5
"3278","Dovy",1,4
"3279","Downey",2,6
"3280","Dox",1,3
"3281","Doyly",1,5
"3282","Dozer",10,5
"3283","Dr John Watson",1,14
"3284","Dr. Alice",1,9
"3285","Dr. Chewbarcca House",1,20
"3286","Dr. Freeze",1,10
"3287","Dr. Jekyll",1,10
"3288","Dr. Norman",1,10
"3289","Dr. Poppers",1,11
"3290","Dr. Wu",1,6
"3291","Draco",3,5
"3292","Dracula",1,7
"3293","Dragnus",1,7
"3294","Dragon",3,6
"3295","Drake",9,5
"3296","Drake Bugatti Viernes",1,21
"3297","Drako",1,5
"3298","Drama",2,5
"3299","Drannor",1,7
"3300","Draper",2,6
"3301","Draven",1,6
"3302","Draven (Apex)",1,13
"3303","Drax",1,4
"3304","Dread Pirate Roberts",1,20
"3305","Dream",1,5
"3306","Dreamer",2,7
"3307","Dreidel",2,7
"3308","Dresden",3,7
"3309","Drew",3,4
"3310","Dreya",1,5
"3311","Drinda",1,6
"3312","Drizzy",1,6
"3313","Druid",1,5
"3314","Drummer",1,7
"3315","Drusilla",2,8
"3316","Dryfus",1,6
"3317","dsh",1,3
"3318","DSH",1,3
"3319","Dubby",1,5
"3320","Dublin",10,6
"3321","Dublin Kells",1,12
"3322","Dublyn",1,6
"3323","Dubs",1,4
"3324","Dubu",3,4
"3325","Ducati",2,6
"3326","Duchess",6,7
"3327","Duchess Gertrude",1,16
"3328","Duchess Lacy van Notendale",1,26
"3329","Duck",2,4
"3330","Ducky",8,5
"3331","Duddley",1,7
"3332","Dude",9,4
"3333","Dudley",20,6
"3334","Dudley Doright",1,14
"3335","Duff",2,4
"3336","Duffel",1,6
"3337","Duffie",1,6
"3338","Duffle",1,6
"3339","Duffy",5,5
"3340","Dug",2,3
"3341","Dug Gunn",1,8
"3342","Dug Seracka",1,11
"3343","Dugan",2,5
"3344","Dugg",1,4
"3345","Duggie",2,6
"3346","Duka",1,4
"3347","Duke",78,4
"3348","Duke Bakketun",1,13
"3349","Duke Blethen Riffkin",1,20
"3350","Duke Charles",1,12
"3351","Duke Kovell",1,11
"3352","Duke of York",1,12
"3353","Duku",1,4
"3354","Dulce",1,5
"3355","Dulce Strickland",1,16
"3356","Dulcie",1,6
"3357","Dulcinea",1,8
"3358","Duma",2,4
"3359","Dumbledoor",1,10
"3360","Dumbledore",1,10
"3361","Dumpling",2,8
"3362","Duncan",27,6
"3363","Duncan-Channing",1,15
"3364","Dundee",2,6
"3365","Dundro",1,6
"3366","Dundy",1,5
"3367","Dune",1,4
"3368","Dunkel",1,6
"3369","Dunkin",2,6
"3370","Dunn",1,4
"3371","Dupree",1,6
"3372","Durango",1,7
"3373","Durban",1,6
"3374","Durga",2,5
"3375","Duska",1,5
"3376","Dusky",1,5
"3377","Duso",1,4
"3378","Duster",2,6
"3379","Dusti",1,5
"3380","Dustie",1,6
"3381","Dustin",1,6
"3382","Dustin Kibblesworth",1,19
"3383","Dusty",30,5
"3384","Dusty Bear",1,10
"3385","Dusty Rose",1,10
"3386","Dutch",13,5
"3387","Dutchess",8,8
"3388","Duterte Snow",1,12
"3389","Dwayne",1,6
"3390","Dwayne TRJ Ling",1,15
"3391","Dweezil",1,7
"3392","Dwight",1,6
"3393","Dylan",13,5
"3394","Dynamite Kelev",1,14
"3395","Dyno",1,4
"3396","E T",1,3
"3397","E-Barre'",1,8
"3398","E.B.",1,4
"3399","Eachtra",1,7
"3400","Eammon",1,6
"3401","Earie",1,5
"3402","Earl",14,4
"3403","Earl Danger",1,11
"3404","Earl Grey",2,9
"3405","Earl Grey Choi",1,14
"3406","Earnest",1,7
"3407","Earnhardt",1,9
"3408","Eartha",1,6
"3409","Eastern Star",1,12
"3410","Easton",1,6
"3411","Easy",1,4
"3412","Eavie",1,5
"3413","Eb",1,2
"3414","Ebby",3,4
"3415","Eberhart",1,8
"3416","Ebey",1,4
"3417","Ebi",2,3
"3418","Ebony",18,5
"3419","Ebony Prince",2,12
"3420","Echo",32,4
"3421","Eckstein",1,8
"3422","Eclipse",4,7
"3423","Eclypse",1,7
"3424","Ed",6,2
"3425","Ed Koch",1,7
"3426","Ed White",1,8
"3427","Eddie",50,5
"3428","Eddie Brunnquell",1,16
"3429","Eddie Macdonald",1,15
"3430","Eddie McIntyre",1,14
"3431","Eddie Megatron",1,14
"3432","Eddie`",1,6
"3433","Eddy",8,4
"3434","Eddy Klug",1,9
"3435","Eden",2,4
"3436","Edencrest Empress Nera",1,22
"3437","Edgar",29,5
"3438","Edge",1,4
"3439","Edgerrin",1,8
"3440","Edgeware",1,8
"3441","Edie",14,4
"3442","Edison",7,6
"3443","Edith",6,5
"3444","Edmund",3,6
"3445","Edna",3,4
"3446","Edna Moe",1,8
"3447","Edom",1,4
"3448","Edsel",1,5
"3449","Eduardo",1,7
"3450","Edward",10,6
"3451","Edward ""Ed"" Norton",1,18
"3452","Edwin",2,5
"3453","Edwina",1,6
"3454","Eesa Bird",1,9
"3455","Eevee",6,5
"3456","Eeyore",1,6
"3457","Effie",6,5
"3458","Effy",1,4
"3459","Ege",1,3
"3460","Egg",1,3
"3461","Eggo",1,4
"3462","Eggs",1,4
"3463","Eggy",1,4
"3464","Egil",1,4
"3465","Egon",4,4
"3466","Egypt",1,5
"3467","Eigen",1,5
"3468","Eikichi",2,7
"3469","Eilifur",1,7
"3470","Ein",4,3
"3471","Eins",1,4
"3472","Einstein",6,8
"3473","Eireann",1,7
"3474","Eisley",1,6
"3475","EJ",1,2
"3476","El Chupacabra",1,13
"3477","El Greco",1,8
"3478","El Guapo",2,8
"3479","Ela",1,3
"3480","Elaine",3,6
"3481","Elanor",1,6
"3482","Elara",1,5
"3483","Elba",1,4
"3484","Elbe",1,4
"3485","Elby",1,4
"3486","Eldo",1,4
"3487","Eldritch",1,8
"3488","Ele",1,3
"3489","Eleanor",15,7
"3490","Eleanor of Aquitaine",1,20
"3491","Eleanor Roosevelt",2,17
"3492","Elecktra",1,8
"3493","Electra",2,7
"3494","Electra Cute",1,12
"3495","ElectraKlash",1,12
"3496","Elehu",1,5
"3497","Elektra",3,7
"3498","Element",1,7
"3499","Elenor",1,6
"3500","Eleonor",1,7
"3501","Elephant",1,8
"3502","Eleven",2,6
"3503","Elf",2,3
"3504","Elfie",3,5
"3505","Elfin",1,5
"3506","Eli",20,3
"3507","Eli Belle",1,9
"3508","Eli Flory",1,9
"3509","Elie",1,4
"3510","Elijah",2,6
"3511","Elinor",1,6
"3512","Elio",3,4
"3513","Eliot",3,5
"3514","Eliott",1,6
"3515","Elise",4,5
"3516","Eliza",4,5
"3517","Eliza Jane",1,10
"3518","Elizabeth",8,9
"3519","Elizabeth Swan",1,14
"3520","Elizabeth Taylor",1,16
"3521","Elke",1,4
"3522","Elko",1,4
"3523","Ella",96,4
"3524","Ella Bee",1,8
"3525","Ella Bella",1,10
"3526","Ella Mae",1,8
"3527","Ella Rose",1,9
"3528","Ella Thunder",1,12
"3529","Ellada",1,6
"3530","Elle",8,4
"3531","Elle Lee",1,8
"3532","Elle Sara Fiannaca",1,18
"3533","Elleanor",1,8
"3534","Elli",2,4
"3535","Elli Oxford",1,11
"3536","Ellie",109,5
"3537","Ellie B. Jackson",1,16
"3538","Ellie Engle",1,11
"3539","Ellie Frye",1,10
"3540","Ellie Heyman",1,12
"3541","Ellie Mae",2,9
"3542","Ellie Prince",1,12
"3543","Ellie Rai",1,9
"3544","Ellie Rose",1,10
"3545","Elliot",7,6
"3546","Elliott",18,7
"3547","Ellis Vanzumi",1,13
"3548","Ellliah",1,7
"3549","Ellum",1,5
"3550","Elly",2,4
"3551","Elmer",5,5
"3552","Elmo",4,4
"3553","Elmo-Tequila",1,12
"3554","Elodin",1,6
"3555","Eloise",13,6
"3556","Elon Meowsk",1,11
"3557","Elouise",1,7
"3558","Elowyn",1,6
"3559","Elphaba",4,7
"3560","Elphie",1,6
"3561","Elroy",6,5
"3562","Elsa",16,4
"3563","Elsie",14,5
"3564","Elsie Brulla-Wolfe",1,18
"3565","Elsie Thabiso",1,13
"3566","Elska",1,5
"3567","Elspeth",1,7
"3568","Elston",1,6
"3569","Elton",1,5
"3570","Elvie",1,5
"3571","Elvin",1,5
"3572","Elvina",1,6
"3573","Elvira",4,6
"3574","Elvis",18,5
"3575","Elvis (was Milligan)",1,20
"3576","Elway",3,5
"3577","Elwha",1,5
"3578","Elwood",4,6
"3579","Ely",1,3
"3580","Elyot",1,5
"3581","Elywyn",1,6
"3582","Elza",1,4
"3583","Em",5,2
"3584","Emaline",1,7
"3585","Ember",10,5
"3586","Ember Grey Mead",1,15
"3587","Eme",1,3
"3588","Emely",1,5
"3589","Emerald",1,7
"3590","Emerick",1,7
"3591","Emerie",1,6
"3592","Emerson",2,7
"3593","Emery",1,5
"3594","Emi",4,3
"3595","Emi-chan",1,8
"3596","Emick",1,5
"3597","Emile DeBarque",1,14
"3598","Emily",26,5
"3599","Emma",90,4
"3600","Emma Frost",1,10
"3601","Emma Ganin",1,10
"3602","Emma Jane",1,9
"3603","Emma Louise",1,11
"3604","Emma Roid Feldman",1,17
"3605","EmmaGrace",1,9
"3606","Emmalani",1,8
"3607","Emmaline",2,8
"3608","Emmanual Meowcron",1,17
"3609","Emme",3,4
"3610","Emmet",5,5
"3611","Emmett",10,6
"3612","Emmi",1,4
"3613","Emmie",8,5
"3614","Emmitt",2,6
"3615","Emmuh",1,5
"3616","Emmy",13,4
"3617","Emmy Lou",1,8
"3618","Emmy Sue",1,8
"3619","Emmygirl",1,8
"3620","Emmylou",3,7
"3621","EmmyLou",1,7
"3622","Emmylou Spot El Camino",1,22
"3623","Emo",3,3
"3624","Emory",2,5
"3625","Empress",3,7
"3626","Empress Binky",1,13
"3627","Emry",1,4
"3628","Emy",1,3
"3629","Ena",1,3
"3630","Enani",1,5
"3631","Enchilada",1,9
"3632","Ender",7,5
"3633","Endo",1,4
"3634","Endora",1,6
"3635","Enfi",1,4
"3636","English Muffin",1,14
"3637","Enid",3,4
"3638","Enigma",1,6
"3639","Enitan",1,6
"3640","Eno Carlson",1,11
"3641","Entei",1,5
"3642","Entity",1,6
"3643","Entropy",1,7
"3644","Enu",1,3
"3645","Envy",1,4
"3646","Enya",2,4
"3647","Enyo",1,4
"3648","Enzo",35,4
"3649","Enzo Baxter",1,11
"3650","Epley",1,5
"3651","Eppie",1,5
"3652","Eragon",1,6
"3653","Erasmus",1,7
"3654","Erica",1,5
"3655","Erie",1,4
"3656","Erin",2,4
"3657","Erinna",1,6
"3658","Eris",1,4
"3659","Erma",1,4
"3660","Ernest",7,6
"3661","Ernest Gold",1,11
"3662","Ernest Hemingway",1,16
"3663","Ernestine",1,9
"3664","Ernie",37,5
"3665","Ernie Shelby",1,12
"3666","Ero",1,3
"3667","Eros",1,4
"3668","Eroteme",1,7
"3669","Errol",1,5
"3670","Ertha",1,5
"3671","Erynn",1,5
"3672","Esby",1,4
"3673","Escher",1,6
"3674","Eshy",1,4
"3675","Esmae",1,5
"3676","Esmarelda",1,9
"3677","Esme",5,4
"3678","Esmeralda",3,9
"3679","Esmerelda",3,9
"3680","Espi",1,4
"3681","Espn",1,4
"3682","Espresso",1,8
"3683","Ess",1,3
"3684","Essie",3,5
"3685","Estella",1,7
"3686","Estelle",3,7
"3687","Esther",8,6
"3688","Estrela",1,7
"3689","Estrella",1,8
"3690","Eta",1,3
"3691","Etain",1,5
"3692","Etaw",1,4
"3693","Ethan",1,5
"3694","Ethel",11,5
"3695","Ethyl",1,5
"3696","Etienne",1,7
"3697","Etta",7,4
"3698","Etta James",2,10
"3699","Etta Mae",1,8
"3700","Etta Rose",1,9
"3701","Eucalyptus",1,10
"3702","Euceledus",1,9
"3703","Euchre",1,6
"3704","Euclid",2,6
"3705","Eugene",3,6
"3706","Eulalie",1,7
"3707","Euler",1,5
"3708","Eureka",1,6
"3709","Eustice",1,7
"3710","Eutolmia",1,8
"3711","Eva",28,3
"3712","Eva Godzilla",1,12
"3713","Eva Mae Kasbat",1,14
"3714","Evah",1,4
"3715","Evander",2,7
"3716","Evander Holyfield",1,17
"3717","Evangeline",1,10
"3718","Evar",1,4
"3719","Eve",8,3
"3720","Evelyn",5,6
"3721","Evelyn Sanchez",1,14
"3722","Evenstar",1,8
"3723","Everest",3,7
"3724","Everett",3,7
"3725","Everly",1,6
"3726","Evey",5,4
"3727","Evie",26,4
"3728","Evil",1,4
"3729","Evil Ellie",1,10
"3730","Evita",1,5
"3731","Ewan",1,4
"3732","Ewok",1,4
"3733","Experiment 626 Stitch",1,21
"3734","Expo",1,4
"3735","Eye Bee",1,7
"3736","Eye-Eye",1,7
"3737","Eyowyn",1,6
"3738","Ezekiel",3,7
"3739","Ezekiel Ross Gillanders",1,23
"3740","Ezeme",1,5
"3741","Ezio",2,4
"3742","Ezra",4,4
"3743","Ezri",2,4
"3744","Ezri Dax",1,8
"3745","F Scott Fitzgerald",1,18
"3746","Fabio",5,5
"3747","Face",1,4
"3748","Fado",1,4
"3749","Fae",1,3
"3750","Faelan",1,6
"3751","Fahri",1,5
"3752","Fai",1,3
"3753","Fairy",1,5
"3754","Faith",9,5
"3755","Faith Abigail",1,13
"3756","Fajita",1,6
"3757","Falco",3,5
"3758","Falcon",2,6
"3759","Falcor",4,6
"3760","Falkor",2,6
"3761","Fall",1,4
"3762","Fallon Stewart",1,14
"3763","Fancy",9,5
"3764","Fancy Pants",1,11
"3765","Fang",3,4
"3766","Fanin",1,5
"3767","Fank",1,4
"3768","Fannie",2,6
"3769","Fanny",8,5
"3770","Fanta",1,5
"3771","Faolan",1,6
"3772","Farah",1,5
"3773","Fare",1,4
"3774","Farfel",1,6
"3775","Fargo",3,5
"3776","Fargo Gates",1,11
"3777","Fariz",1,5
"3778","Farley",12,6
"3779","Farmer",2,6
"3780","Farraday",1,8
"3781","Farrah",3,6
"3782","Farren",1,6
"3783","Fasha",1,5
"3784","Fat Kitty",1,9
"3785","Fat Man",1,7
"3786","Fate",1,4
"3787","Fathola",1,7
"3788","Fathom",1,6
"3789","Fats",1,4
"3790","Fatso",1,5
"3791","Fauna",1,5
"3792","Fauntleroy",1,10
"3793","Faust",1,5
"3794","Fausto",1,6
"3795","Favie",1,5
"3796","Fawkes",3,6
"3797","Fawn",3,4
"3798","Fawn Abarr",1,10
"3799","Fawna",1,5
"3800","Faye",1,4
"3801","Fe",1,2
"3802","FE",1,2
"3803","Fea",1,3
"3804","Feather",3,7
"3805","Feathers",2,8
"3806","Febe",1,4
"3807","Fedor",1,5
"3808","Feebee",1,6
"3809","Feena Hayes-Thombre",1,19
"3810","Fefe",1,4
"3811","fei fei",1,7
"3812","Fei Fei",1,7
"3813","Feisty",2,6
"3814","Feldman Bean",1,12
"3815","Felice",2,6
"3816","Felicia",2,7
"3817","Felicity Jane",1,13
"3818","Felipe",2,6
"3819","Felix",53,5
"3820","Felix Felicis the Invincible",1,28
"3821","Felix Hesler",1,12
"3822","Felka",1,5
"3823","Fellini",1,7
"3824","Fellini Stabile",1,15
"3825","female",3,6
"3826","Female",1,6
"3827","Fen",1,3
"3828","Fenchurch",1,9
"3829","Fender",1,6
"3830","Feni",1,4
"3831","Fenn",2,4
"3832","Fenris",2,6
"3833","Fenway",10,6
"3834","Fenya",1,5
"3835","Feo",1,3
"3836","Feona",1,5
"3837","Feral Kitty",1,11
"3838","Ferbert",1,7
"3839","Ferdie",1,6
"3840","Ferdinand",4,9
"3841","Fergi",2,5
"3842","Fergie",3,6
"3843","Fergus",25,6
"3844","Fergus Falls",1,12
"3845","Fergus MacMergus",1,16
"3846","Fergus Reynolds",1,15
"3847","Ferguson",1,8
"3848","Fermi Yao",1,9
"3849","Fern",11,4
"3850","Fern River Brit's Gouda Reserve",1,31
"3851","Fernando",4,8
"3852","Ferni",1,5
"3853","Fernie",1,6
"3854","Fernie England",1,14
"3855","Ferrari",1,7
"3856","Ferris",2,6
"3857","Ferris Bueller",2,14
"3858","Ferrous",1,7
"3859","Feta",2,4
"3860","Fetch",1,5
"3861","Fex",1,3
"3862","Fey Branch Kim",1,14
"3863","Feyd",1,4
"3864","Fez",3,3
"3865","Fezzie",1,6
"3866","Fezzik",5,6
"3867","Fia",3,3
"3868","Fiachra McFluffins",1,18
"3869","Fianna",1,6
"3870","Fibi",2,4
"3871","Fiddlesticks",2,12
"3872","Fidel",1,5
"3873","Fideo",1,5
"3874","Fido",3,4
"3875","Fielder",1,7
"3876","Fiera",1,5
"3877","Fiero",1,5
"3878","Fiesty",1,6
"3879","Fievel",2,6
"3880","Fievol",1,6
"3881","Fifa",1,4
"3882","Fife",1,4
"3883","Fifi",2,4
"3884","FiFi",1,4
"3885","Fifille",1,7
"3886","Fifo",1,4
"3887","Fifty",1,5
"3888","Fig",6,3
"3889","Figaro",7,6
"3890","FIGARO",1,6
"3891","Figgy",1,5
"3892","Figgy Pudding",1,13
"3893","Figuery Frances",1,15
"3894","Fiji",1,4
"3895","Filbert",1,7
"3896","Filete",1,6
"3897","Fili",1,4
"3898","Fillmore",3,8
"3899","Filly",1,5
"3900","Filson",2,6
"3901","Fin",6,3
"3902","Fina",3,4
"3903","Finch",5,5
"3904","Finchley",1,8
"3905","Findlay",3,7
"3906","Findus",2,6
"3907","Finigan",1,7
"3908","Finis",1,5
"3909","Finks",1,5
"3910","Finlay",1,6
"3911","Finlay Branson",1,14
"3912","Finley",29,6
"3913","Finley Zagers",1,13
"3914","finn",1,4
"3915","Finn",101,4
"3916","Finn McCool",2,11
"3917","Finn Tarbet Antolin",1,19
"3918","Finn the Human",1,14
"3919","Finn Windir",1,11
"3920","Finnegan",40,8
"3921","Finnegan Britton",1,16
"3922","Finnegan Ruckus Freestand",1,25
"3923","Finney",6,6
"3924","Finnian",1,7
"3925","Finnick",1,7
"3926","Finnigan",8,8
"3927","Finnius",1,7
"3928","Finnley",4,7
"3929","Finny",1,5
"3930","Fiona",53,5
"3931","FIONA",1,5
"3932","Fionka",1,6
"3933","Fionn",2,5
"3934","Fionna",1,6
"3935","Fiore",1,5
"3936","Fiore Rose",1,10
"3937","Fips",1,4
"3938","Fire",2,4
"3939","Fire Taffy",1,10
"3940","Fireball",1,8
"3941","Firecracker",1,11
"3942","Firetruck",1,9
"3943","Fischer",1,7
"3944","Fish",3,4
"3945","Fishball",1,8
"3946","Fisher",4,6
"3947","Fishin Larson",1,13
"3948","Fishy",1,5
"3949","Fitter",1,6
"3950","Fitz",12,4
"3951","Fitz Kearns",1,11
"3952","Fitzgerald",6,10
"3953","Fiver",3,5
"3954","Fiyero",1,6
"3955","Fizz",2,4
"3956","Fizzgig",1,7
"3957","Fjord",1,5
"3958","Flaco",2,5
"3959","Flair",1,5
"3960","Flame",2,5
"3961","Flanders",1,8
"3962","Flanelia",1,8
"3963","Flapjack",2,8
"3964","FlapJack",1,8
"3965","Flare",1,5
"3966","Flash",20,5
"3967","Flash Gordon Savior of the Universe",1,35
"3968","Flavia",1,6
"3969","Flea",1,4
"3970","Fleener",1,7
"3971","Fletcher",8,8
"3972","Fletcher Wilkie",1,15
"3973","Fleurie",1,7
"3974","Fleury's Contessa",1,17
"3975","Flex",1,4
"3976","Flic",1,4
"3977","Flieger",1,7
"3978","Flinder",1,7
"3979","Fling",1,5
"3980","Flingo",1,6
"3981","Flint",4,5
"3982","Flip",3,4
"3983","flip lfop",1,9
"3984","Flippa",1,6
"3985","Flipper",1,7
"3986","Flo",3,3
"3987","Flocca",1,6
"3988","Floki",2,5
"3989","Floof",1,5
"3990","Flopsy",1,6
"3991","Flora",14,5
"3992","Florence",2,8
"3993","Florencia",1,9
"3994","Floria",1,6
"3995","Flossie",2,7
"3996","Flounder",1,8
"3997","Flower",8,6
"3998","Floyd",14,5
"3999","Fluff",1,5
"4000","Fluffers",1,8
"4001","Fluffin",1,7
"4002","Fluffy",13,6
"4003","Fluffy Buns",1,11
"4004","Fluffy-B",1,8
"4005","Fly",2,3
"4006","Flyer",1,5
"4007","Flynn",14,5
"4008","Fodie",1,5
"4009","Foenix",1,6
"4010","Fog",1,3
"4011","Fogel",1,5
"4012","Foggie",1,6
"4013","Foggy",2,5
"4014","Foljambe",1,8
"4015","Follie",1,6
"4016","Folly",1,5
"4017","Folsom",1,6
"4018","Fondue",3,6
"4019","Fongfong",1,8
"4020","Fonzie",4,6
"4021","Fonzy",1,5
"4022","Foo",1,3
"4023","Foo Foo",1,7
"4024","Foofy",1,5
"4025","Foot Foot",1,9
"4026","Forbin",1,6
"4027","Ford",4,4
"4028","Forest",6,6
"4029","Forrest",8,7
"4030","Fortune",2,7
"4031","Fosse",1,5
"4032","Foster",3,6
"4033","Fosters",1,7
"4034","Fox",6,3
"4035","Fox Box",1,7
"4036","Fox McCloud",1,11
"4037","Foxy",13,4
"4038","Foxy Brown Hurley",1,17
"4039","Foxy Lady",1,9
"4040","Foxy Love",1,9
"4041","Foxy Roxy",1,9
"4042","Foz",1,3
"4043","Fozul",1,5
"4044","Fozzie",3,6
"4045","Fozzie Bear",2,11
"4046","Fozzie Lim",1,10
"4047","Fozzy",1,5
"4048","Fozzy Bear",1,10
"4049","Fraeulein Knopf",1,15
"4050","Fraisier",1,8
"4051","Frajola",1,7
"4052","Fraley",1,6
"4053","Fran",3,4
"4054","Franc",1,5
"4055","Frances",9,7
"4056","Francesca",5,9
"4057","Francesco",1,9
"4058","Franchesca",1,10
"4059","Francie",3,7
"4060","Francine",5,8
"4061","Francis",15,7
"4062","Francisco",1,9
"4063","Franco",2,6
"4064","Francois",2,8
"4065","Francoise",2,9
"4066","Frango",2,6
"4067","Frank",43,5
"4068","Frank E Furter",1,14
"4069","Frank E.",1,8
"4070","Frank Sinatra",2,13
"4071","Frankenstein",2,12
"4072","Franki",1,6
"4073","Frankie",98,7
"4074","Frankie Antonio",1,15
"4075","Frankie Ferdinant",1,17
"4076","Frankie June",1,12
"4077","Frankie Lee Jones",1,17
"4078","Frankie Pierre",1,14
"4079","Frankie Quadros",1,15
"4080","Frankie Valli",1,13
"4081","Franklin",26,8
"4082","Franklin ""Frankie""",1,18
"4083","Franklin Kinks",1,14
"4084","Franklin Winters Lind",1,21
"4085","Franky",6,6
"4086","Frannie",11,7
"4087","Franny",13,6
"4088","Franz",2,5
"4089","Franza",1,6
"4090","Franzie",1,7
"4091","Fraser",1,6
"4092","Frasier",1,7
"4093","Fraya",1,5
"4094","Frazier",1,7
"4095","Freckles",6,8
"4096","Fred",30,4
"4097","Fred ""Freddie""",1,14
"4098","Fred Weasley",1,12
"4099","Freda",1,5
"4100","Freddie",20,7
"4101","Freddie Straley",1,15
"4102","Freddy",13,6
"4103","Frederick",3,9
"4104","Frederick All-Star",1,18
"4105","Fredi",1,5
"4106","Fredo",3,5
"4107","Fredrick",3,8
"4108","Freedom",1,7
"4109","Freeduh",1,7
"4110","Freeman",1,7
"4111","Freeway",1,7
"4112","Freeza",1,6
"4113","Freia",1,5
"4114","Freida",2,6
"4115","Freija",1,6
"4116","Freja",3,5
"4117","Frejol",1,6
"4118","French Fry",1,10
"4119","Frenchie",1,8
"4120","Frenzy",1,6
"4121","Freud",2,5
"4122","Freya",27,5
"4123","Freyja",10,6
"4124","Fria",1,4
"4125","Friar",1,5
"4126","Frida",25,5
"4127","Frida Pawlo",1,11
"4128","Fridah",1,6
"4129","Friday",11,6
"4130","Frie",1,4
"4131","Frieda",7,6
"4132","Friedrich",1,9
"4133","Friend",2,6
"4134","Friendly",1,8
"4135","Frimbo",1,6
"4136","Friol",1,5
"4137","Frisco",3,6
"4138","Frisky",1,6
"4139","Frito",2,5
"4140","Fritz",17,5
"4141","Fritzy Kitty",1,12
"4142","Frizz",1,5
"4143","Frodo",18,5
"4144","Froja",1,5
"4145","Frosting",1,8
"4146","Frosty",3,6
"4147","FROSTY",1,6
"4148","Fruko",1,5
"4149","Fry",3,3
"4150","Frye",1,4
"4151","Frytz",1,5
"4152","Fu",1,2
"4153","Fu Lin",1,6
"4154","Fuchui",1,6
"4155","Fudge",5,5
"4156","Fufu",2,4
"4157","Fufu Maginty",1,12
"4158","Fugee",1,5
"4159","Fugu",1,4
"4160","Fuji",2,4
"4161","Fukayna",1,7
"4162","Fulita Flavia",1,13
"4163","Fung shui",1,9
"4164","Fungo",1,5
"4165","Funny",1,5
"4166","Furbelow",1,8
"4167","Furgus",2,6
"4168","Furiosa",3,7
"4169","Furious",1,7
"4170","Furla",1,5
"4171","Furmin",1,6
"4172","Furmione",1,8
"4173","Fury",1,4
"4174","Fusa",1,4
"4175","Futon",1,5
"4176","Fuyuki",1,6
"4177","Fuzz",1,4
"4178","Fuzz E",1,6
"4179","Fuzz Nutes",1,10
"4180","Fuzz/Jackson",1,12
"4181","Fuzzbucket",1,10
"4182","Fuzzy",4,5
"4183","Fuzzy Bubba",1,11
"4184","Fyn",1,3
"4185","Fynn",4,4
"4186","Fynn McGlenn Richardson",1,23
"4187","Fyodor",1,6
"4188","G K",1,3
"4189","G Troubles",1,10
"4190","G.B.",1,4
"4191","G.D. Sprocket",1,13
"4192","Gaagii",1,6
"4193","Gabbana",1,7
"4194","Gabbie",2,6
"4195","Gabby",28,5
"4196","Gabby Howell",1,12
"4197","Gabe",4,4
"4198","Gabi",3,4
"4199","Gable",1,5
"4200","Gabriel",5,7
"4201","Gabriella",1,9
"4202","Gabrielle",3,9
"4203","Gaby",4,4
"4204","Gacy",1,4
"4205","Gadget",5,6
"4206","Gael",1,4
"4207","Gage",3,4
"4208","Gage Louis",1,10
"4209","Gaia",7,4
"4210","Gaige",1,5
"4211","Gaius",2,5
"4212","Gala",1,4
"4213","Gala (Nautica)",1,14
"4214","Galahad",1,7
"4215","Galaxy",5,6
"4216","Galen",1,5
"4217","Galena",2,6
"4218","Galileo",1,7
"4219","Galley",1,6
"4220","Gallifrey",1,9
"4221","Gallo",1,5
"4222","Galt",1,4
"4223","Galvin",1,6
"4224","Gamache",1,7
"4225","Gambell",1,7
"4226","Gambino",1,7
"4227","Gambit",7,6
"4228","Gamble",1,6
"4229","Gamgee",1,6
"4230","Gami",1,4
"4231","Gamzee",1,6
"4232","Gan Ainm",1,8
"4233","Ganache",1,7
"4234","Gancy",1,5
"4235","Gandalf",4,7
"4236","Gandall",1,7
"4237","Gandalph",1,8
"4238","Ganesh",1,6
"4239","Ganesha ""GG""",1,12
"4240","Gannon",1,6
"4241","Ganymede",1,8
"4242","Gar",1,3
"4243","Garbanzo",2,8
"4244","Garbo",1,5
"4245","Gareth Brown",1,12
"4246","Garfield",9,8
"4247","Garfield (Zoey)",1,15
